date,open,high,low,close,volume
2001-01-03 00:00:00,0.9507,0.9569,0.9262,0.9271,0
2001-01-04 00:00:00,0.9271,0.9515,0.9269,0.9507,0
2001-01-05 00:00:00,0.9507,0.9591,0.9464,0.9575,0
2001-01-08 00:00:00,0.9583,0.9588,0.9462,0.9467,0
2001-01-09 00:00:00,0.9467,0.9477,0.9384,0.9437,0
2001-01-10 00:00:00,0.9437,0.9464,0.9361,0.9366,0
2001-01-11 00:00:00,0.9366,0.9549,0.9364,0.9521,0
2001-01-12 00:00:00,0.9522,0.9575,0.9468,0.9508,0
2001-01-15 00:00:00,0.9521,0.9521,0.9408,0.9431,0
2001-01-16 00:00:00,0.9431,0.9438,0.9371,0.9421,0
2001-01-17 00:00:00,0.9421,0.9442,0.9288,0.936,0
2001-01-18 00:00:00,0.936,0.946,0.9352,0.9424,0
2001-01-19 00:00:00,0.9424,0.9499,0.9337,0.9346,0
2001-01-22 00:00:00,0.9345,0.9401,0.9269,0.9383,0
2001-01-23 00:00:00,0.9384,0.9447,0.9343,0.9346,0
2001-01-24 00:00:00,0.9346,0.9369,0.9209,0.9239,0
2001-01-25 00:00:00,0.9239,0.9248,0.9114,0.9244,0
2001-01-26 00:00:00,0.9244,0.9314,0.9198,0.9243,0
2001-01-29 00:00:00,0.9236,0.9258,0.9159,0.917,0
2001-01-30 00:00:00,0.9169,0.9276,0.9143,0.9262,0
2001-01-31 00:00:00,0.9262,0.9374,0.9253,0.9374,0
2001-02-01 00:00:00,0.9374,0.9442,0.9365,0.9374,0
2001-02-02 00:00:00,0.9369,0.9417,0.9318,0.9357,0
2001-02-05 00:00:00,0.9351,0.9438,0.9351,0.938,0
2001-02-06 00:00:00,0.938,0.9383,0.9283,0.9311,0
2001-02-07 00:00:00,0.9311,0.9347,0.9257,0.9285,0
2001-02-08 00:00:00,0.9285,0.9298,0.9149,0.9182,0
2001-02-09 00:00:00,0.9182,0.927,0.9131,0.9253,0
2001-02-12 00:00:00,0.9254,0.9327,0.9247,0.9321,0
2001-02-13 00:00:00,0.9321,0.9327,0.917,0.9205,0
2001-02-14 00:00:00,0.9204,0.9216,0.9164,0.9178,0
2001-02-15 00:00:00,0.9179,0.9193,0.9024,0.9053,0
2001-02-16 00:00:00,0.9054,0.9172,0.905,0.9146,0
2001-02-19 00:00:00,0.9126,0.9233,0.912,0.9211,0
2001-02-20 00:00:00,0.9211,0.9236,0.9049,0.9104,0
2001-02-21 00:00:00,0.9104,0.918,0.9056,0.9096,0
2001-02-22 00:00:00,0.9095,0.9128,0.9014,0.9031,0
2001-02-23 00:00:00,0.9031,0.9204,0.9025,0.9169,0
2001-02-26 00:00:00,0.9173,0.9183,0.9078,0.9103,0
2001-02-27 00:00:00,0.9103,0.9203,0.9082,0.9182,0
2001-02-28 00:00:00,0.9182,0.9253,0.916,0.9233,0
2001-03-01 00:00:00,0.9233,0.9318,0.9225,0.9305,0
2001-03-02 00:00:00,0.9305,0.9377,0.9288,0.9348,0
2001-03-05 00:00:00,0.9361,0.9364,0.9264,0.9264,0
2001-03-06 00:00:00,0.9263,0.9345,0.925,0.9338,0
2001-03-07 00:00:00,0.9337,0.9368,0.9262,0.9292,0
2001-03-08 00:00:00,0.9293,0.9337,0.9271,0.932,0
2001-03-09 00:00:00,0.932,0.937,0.9292,0.9322,0
2001-03-12 00:00:00,0.9316,0.9339,0.9258,0.9293,0
2001-03-13 00:00:00,0.9293,0.9298,0.9128,0.9146,0
2001-03-14 00:00:00,0.9147,0.9207,0.9077,0.9114,0
2001-03-15 00:00:00,0.9114,0.9124,0.8953,0.8977,0
2001-03-16 00:00:00,0.8977,0.8999,0.8913,0.8958,0
2001-03-19 00:00:00,0.8967,0.9017,0.8933,0.8993,0
2001-03-20 00:00:00,0.8992,0.9115,0.8985,0.9111,0
2001-03-21 00:00:00,0.9111,0.912,0.8932,0.8959,0
2001-03-22 00:00:00,0.8959,0.8963,0.8832,0.8882,0
2001-03-23 00:00:00,0.8882,0.8964,0.8852,0.8894,0
2001-03-26 00:00:00,0.8908,0.8967,0.8885,0.8961,0
2001-03-27 00:00:00,0.8961,0.8989,0.8896,0.8931,0
2001-03-28 00:00:00,0.8931,0.8944,0.8844,0.886,0
2001-03-29 00:00:00,0.886,0.8882,0.8796,0.8831,0
2001-03-30 00:00:00,0.8831,0.8873,0.8748,0.877,0
2001-04-02 00:00:00,0.8742,0.8832,0.8735,0.8793,0
2001-04-03 00:00:00,0.8793,0.8983,0.8793,0.8973,0
2001-04-04 00:00:00,0.8973,0.9047,0.8933,0.9012,0
2001-04-05 00:00:00,0.9011,0.9086,0.8942,0.8968,0
2001-04-06 00:00:00,0.8968,0.9046,0.8924,0.9031,0
2001-04-09 00:00:00,0.9033,0.9045,0.896,0.8963,0
2001-04-10 00:00:00,0.8963,0.899,0.8865,0.8887,0
2001-04-11 00:00:00,0.8887,0.8913,0.8809,0.888,0
2001-04-12 00:00:00,0.888,0.894,0.8835,0.8925,0
2001-04-13 00:00:00,0.8925,0.8925,0.8925,0.8925,0
2001-04-16 00:00:00,0.8886,0.89,0.8837,0.8887,0
2001-04-17 00:00:00,0.8887,0.8907,0.8775,0.8834,0
2001-04-18 00:00:00,0.8835,0.8893,0.8698,0.8837,0
2001-04-19 00:00:00,0.8837,0.8985,0.8805,0.8976,0
2001-04-20 00:00:00,0.8975,0.9045,0.8952,0.9026,0
2001-04-23 00:00:00,0.9012,0.9077,0.8945,0.8966,0
2001-04-24 00:00:00,0.8966,0.9016,0.893,0.8943,0
2001-04-25 00:00:00,0.8943,0.8998,0.8906,0.8977,0
2001-04-26 00:00:00,0.8977,0.904,0.8945,0.9031,0
2001-04-27 00:00:00,0.9031,0.9051,0.8886,0.8908,0
2001-04-30 00:00:00,0.8913,0.8922,0.885,0.8891,0
2001-05-01 00:00:00,0.8891,0.8938,0.8856,0.8933,0
2001-05-02 00:00:00,0.8933,0.8948,0.8884,0.8938,0
2001-05-03 00:00:00,0.8938,0.8974,0.8879,0.8895,0
2001-05-04 00:00:00,0.8895,0.9004,0.8893,0.8936,0
2001-05-07 00:00:00,0.8924,0.8932,0.8897,0.8902,0
2001-05-08 00:00:00,0.8902,0.8912,0.8822,0.8849,0
2001-05-09 00:00:00,0.8849,0.8866,0.881,0.886,0
2001-05-10 00:00:00,0.886,0.8918,0.878,0.8813,0
2001-05-11 00:00:00,0.8813,0.882,0.8737,0.8763,0
2001-05-14 00:00:00,0.8754,0.8757,0.8725,0.8737,0
2001-05-15 00:00:00,0.8738,0.8795,0.8732,0.8782,0
2001-05-16 00:00:00,0.8783,0.8865,0.8747,0.8829,0
2001-05-17 00:00:00,0.8829,0.8877,0.8792,0.8826,0
2001-05-18 00:00:00,0.8825,0.8827,0.8754,0.8798,0
2001-05-21 00:00:00,0.8797,0.8815,0.8739,0.8764,0
2001-05-22 00:00:00,0.8763,0.8772,0.8625,0.8651,0
2001-05-23 00:00:00,0.8651,0.8659,0.8547,0.8552,0
2001-05-24 00:00:00,0.8552,0.8552,0.855,0.8551,0
2001-05-25 00:00:00,0.857,0.8625,0.8536,0.8601,0
2001-05-28 00:00:00,0.86,0.8605,0.8578,0.86,0
2001-05-29 00:00:00,0.86,0.861,0.8529,0.8558,0
2001-05-30 00:00:00,0.8558,0.8588,0.8534,0.8551,0
2001-05-31 00:00:00,0.8551,0.8563,0.8441,0.8448,0
2001-06-01 00:00:00,0.8448,0.8494,0.8433,0.8478,0
2001-06-04 00:00:00,0.8465,0.8535,0.844,0.8459,0
2001-06-05 00:00:00,0.8458,0.8544,0.8424,0.8541,0
2001-06-06 00:00:00,0.8541,0.8565,0.8444,0.8465,0
2001-06-07 00:00:00,0.8466,0.8517,0.8455,0.8513,0
2001-06-08 00:00:00,0.8513,0.8515,0.8457,0.8503,0
2001-06-11 00:00:00,0.8498,0.8537,0.841,0.8441,0
2001-06-12 00:00:00,0.8441,0.8536,0.8413,0.8529,0
2001-06-13 00:00:00,0.8529,0.8564,0.8509,0.855,0
